1.417182716014782178e-02,1.146460381523272953e-01,5.926499994641578617e-01,2.003551813982785923e+00,4.995332434331320570e+00,1.092422907173688706e+01,1.863902049631946056e+01,3.092292464167070065e+01,4.289511911289336865e+01,5.193047551481744506e+01,5.600535739416969960e+01
1.053282126601600005e-01,6.287550957581404809e-01,2.097671199263192676e+00,5.202494039119540226e+00,1.131898258847425254e+01,1.936808325172375334e+01,3.227523532386634031e+01,4.537644606365319078e+01,6.009814110604439463e+01,7.214178103262952391e+01,7.724389967868546591e+01
5.908967940159638443e-01,1.998714592234229981e+00,5.399434498538230542e+00,1.168121369905236406e+01,1.996739049354357221e+01,3.325514109425027698e+01,4.694965742571226031e+01,6.334905104111030028e+01,7.815358772560686873e+01,8.809650506527626135e+01,9.373394757524441445e+01
1.889128517165644894e+00,5.180996362800849298e+00,1.128048209450202144e+01,2.049755045381791874e+01,3.405292841781894708e+01,4.806326153920274180e+01,6.531898600381450137e+01,8.160721305401550296e+01,9.507922252567328769e+01,1.058922321697271087e+02,1.080119464534704719e+02
4.924314868227309461e+00,1.079980825983518145e+01,1.982580203865581581e+01,3.306920438220272018e+01,4.760837255387274780e+01,6.656870551783883627e+01,8.350800933180144625e+01,9.885622731746472880e+01,1.129722473984529358e+02,1.204341504982120341e+02,1.196659647156590296e+02
1.013309996422349180e+01,1.893558562645124610e+01,3.172459579371632898e+01,4.609769637681912968e+01,6.467429559141855577e+01,8.148425880010833566e+01,1.004849272169630439e+02,1.161719061335331560e+02,1.268531949489974409e+02,1.324275700011531853e+02,1.306623941368297324e+02
1.759084710787726280e+01,2.963576009931312427e+01,4.376983020063347141e+01,6.161943938902835782e+01,7.790697732168170830e+01,9.713199436376586959e+01,1.130937957230417510e+02,1.270157605990955716e+02,1.378351929103030784e+02,1.417489078492635315e+02,1.370077475425311775e+02
2.404462326408039274e+01,3.997569097421984452e+01,5.651848925223084308e+01,7.243489582314258257e+01,9.091248477337154554e+01,1.063330215116476438e+02,1.213201297336231619e+02,1.334212763893845590e+02,1.406480638161256422e+02,1.429886267765360799e+02,1.375620275913776993e+02
2.769915068478409381e+01,4.558356693605163912e+01,6.391304151526777844e+01,8.054414323995075620e+01,9.463995890846234715e+01,1.100065327278187652e+02,1.218994064779648170e+02,1.309001517132417689e+02,1.371973386546421523e+02,1.375018487865851284e+02,1.294082717301628804e+02
2.779637299151111662e+01,4.536166586343819063e+01,6.315650496129505598e+01,7.909500275573782346e+01,9.237447238068469346e+01,1.029689534951705099e+02,1.131916909790542576e+02,1.202934811460630584e+02,1.235740158459267519e+02,1.227759556457492067e+02,1.131162624910852657e+02
2.457959525531884282e+01,3.981958103252020464e+01,5.509380030980727128e+01,6.860970182178498078e+01,7.970742743953543652e+01,8.840039765670502447e+01,9.482545426999701021e+01,1.000847054822706355e+02,1.023311104019883970e+02,9.985494029436632957e+01,9.060069754653757457e+01
